Guid,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingStateCode,BillingCountryCode,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingStateCode,ShippingCountryCode,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,AccountNumber,Website,Industry,NumberOfEmployees,Ownership,Description,CurrencyIsoCode,IsPartner,IsCustomerPortal,Jigsaw,AccountSource,SicDesc,SBQQ__ContractCoTermination__c,SBQQ__RenewalModel__c,SBQQ__RenewalPricingMethod__c,SBQQ__TaxExempt__c,SBQQ__AssetQuantitiesCombined__c,SBQQ__CoTermedContractsCombined__c,SBQQ__DefaultOpportunity__c,SBQQ__IgnoreParentContractedPrices__c,SBQQ__PreserveBundle__c,SBQQ__PriceHoldEnd__c,SBQQ__CoTerminationEvent__c
106c6e97-f1b8-4550-9af5-3bb6a8581601,#N/A,Gabtype,Customer,#N/A,1 American Rd,Dearborn,MI,48126-2701,United States,#N/A,#N/A,#N/A,#N/A,#N/A,P.O. BOX 685,Dearborn,MI,48121-0685,US,#N/A,#N/A,#N/A,#N/A,#N/A,1.313.322.3000,#N/A,#N/A,Energy,#N/A,#N/A,"Tension, Inc. is the leader in Energy in Dearborn",#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
10f4e9b4-25b7-491c-baf8-f91fe338fe9b,#N/A,Fliptune,Customer,#N/A,8111 Westchester Dr # 600,Dallas,TX,75225-6142,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.214.981.0700,#N/A,#N/A,Media,#N/A,#N/A,Mammoth Pictures is the leader in Media in Dallas,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
1131bb81-2f20-4695-8cda-9aac8653467c,#N/A,Shufflester,Prospect,#N/A,1000 Nicollet Mall,Minneapolis,MN,55403-2542,United States,#N/A,#N/A,#N/A,#N/A,#N/A,P.O. BOX 81226,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.612.304.6073,#N/A,#N/A,Services,#N/A,#N/A,"Equality Consulting, LLC is the leader in Services in Minneapolis",#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
11680257-4ed3-46d6-a847-4689e8ead1fe,#N/A,Dabfeed,Customer,#N/A,300 Chestnut Ridge Road,Bavaria,Munich,#N/A,Germany,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Healthcare,#N/A,#N/A,SS North is the leader in Healthcare in Bavaria,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
12c64cf2-8245-407d-b6d4-8e3b2194e7fd,#N/A,New Account,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
12ccc815-85d7-4644-b95e-3e550c98c56a,#N/A,Notre Dame University,Prospect,#N/A,#N/A,#N/A,IN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Education,1309,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
14b333db-207f-4885-bd2a-41669596e161,#N/A,Popeyes,Customer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Restaurant,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
18849aff-d930-4d82-8b0b-19ffeb5e82c0,#N/A,Blognation,Customer,#N/A,1 Johnson and Johnson Plz,New Brunswick,NJ,08933-0002,United States,#N/A,#N/A,#N/A,#N/A,#N/A,P.O. BOX 767,Neenah,WI,54957-0767,US,#N/A,#N/A,#N/A,#N/A,#N/A,1.732.524.0400,#N/A,#N/A,Financial Services,#N/A,#N/A,Budgetworks is the leader in Financial Services in New Brunswick,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
18973a35-a6a4-4677-80bd-9e68134f50b6,#N/A,Centimia,Customer,#N/A,10 Farm Springs Rd,Farmington,CT,06032-2577,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.860.728.7000,#N/A,#N/A,Transportation,#N/A,#N/A,Tungsten Security Services is the leader in Transportation in Farmington,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
18a64b69-ab47-49c4-a92b-245ce84afc35,#N/A,Edgepulse,Customer,#N/A,30 Avenue Montaigne,Paris,Paris,#N/A,France,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Healthcare,#N/A,#N/A,St. Francis South Side is the leader in Healthcare in Paris,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
1e27a0f8-eb8c-4d92-a06d-87427627b543,#N/A,Meembee,Customer,#N/A,1 Canada Square,Canary Wharf,London,E14 5AJ,United Kingdom,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Healthcare,#N/A,#N/A,St. Francis Hospital is the leader in Healthcare in Canary Wharf,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
1e7201f0-3122-4f6d-93f7-6e3a536798c7,#N/A,Noba,Customer,#N/A,6001 Bollinger Canyon Rd,San Ramon,CA,94583-2324,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.925.842.1000,#N/A,#N/A,Technology,#N/A,#N/A,Audioshore is the leader in Technology in San Ramon,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
1fc673dd-e5c8-4c1e-88c2-a27fd4edf171,#N/A,Linklinks,Prospect,#N/A,336 Erie Plaza,Pueblo,CO,81005,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Utilities,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
1fdd685c-3350-4d8c-b3a2-b46f52a5dd1a,#N/A,Thoughtsphere,Prospect,#N/A,0526 Hauk Plaza,Lafayette,IN,47905,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Energy,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
2095f251-f2c9-4527-a8be-abcac6a29ebd,#N/A,Zoombox,Customer,#N/A,200 George Street,Sydney,NSW,2000,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,200 George Street,Sydney,NSW,2000,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,(02) 8858 6163,#N/A,#N/A,Machinery,#N/A,#N/A,Corellian Engineering Corporation is the leader in Machinery in Sydney,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
20e1375a-5a9e-4ef3-8c84-e09d75d5d562,#N/A,Quatz,Prospect,#N/A,2591 Vidon Court,Houston,TX,77228,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Manufacturing,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
218bf119-ad62-4668-8e73-b3c500f5bb13,#N/A,Ooba,Customer,#N/A,50 Kerra Way,Docklands,VIC,3008,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,50 Kerra Way,Docklands,VIC,3008,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,(03) 6257 7887,#N/A,#N/A,Media,#N/A,#N/A,Gizmonic Institute is the leader in Media in Docklands,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
233af7a8-6b11-434f-854a-41cc85b4c5e7,#N/A,Kwideo,Customer,#N/A,390 Harris Street,Sydney,NSW,2007,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,390 Harris Street,Sydney,NSW,2007,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,(02) 7948 6474,#N/A,#N/A,Energy,#N/A,#N/A,Petrox Oil Company is the leader in Energy in Sydney,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
245a82ba-3220-4d32-8404-2b0cf11c61ba,#N/A,Chatterpoint,Customer,#N/A,980 Great West Road,Middlesex,London,#N/A,United Kingdom,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Healthcare,#N/A,#N/A,TF South is the leader in Healthcare in Middlesex,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
24b3318e-aa5b-43a6-8aa3-e2640b7751ed,#N/A,Voolith,Customer,#N/A,500 S Buena Vista St,Burbank,CA,91521-0007,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.818.560.1000,#N/A,#N/A,Higher Education,#N/A,#N/A,Larsco College is the leader in Higher Education in Burbank,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
24e9f70f-c385-4e09-ac7c-95fca549c5f2,#N/A,Twinder,Prospect,#N/A,3000 N Sam Houston Pkwy E,Houston,TX,77032-3299,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.281.871.2699,#N/A,#N/A,Technology,#N/A,#N/A,Systym Vitals is the leader in Technology in Houston,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
26866cd5-a63c-4f60-ac6d-bbfc15454a6d,#N/A,Meejo,Customer,#N/A,16 Hinterland Cr,Algester,QLD,4115,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,16 Hinterland Cr,Algester,QLD,4115,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,(07) 6586 8516,#N/A,#N/A,Machinery,#N/A,#N/A,McMahon and Tate is the leader in Machinery in Algester,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
2787b426-2ab0-40ed-9bba-054e67a11c0e,#N/A,Photobug,Prospect,#N/A,2 Graceland Street,Bloomington,IN,47405,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Manufacturing,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
27c8ad18-a950-4731-b762-3360b7101156,#N/A,Bluezoom,Prospect,#N/A,410 Terry Ave N,Seattle,WA,98109-5210,United States,#N/A,#N/A,#N/A,#N/A,#N/A,P.O. BOX 81226,Seattle,WA,98108-1300,US,#N/A,#N/A,#N/A,#N/A,#N/A,1.206.266.1000,#N/A,#N/A,Higher Education,#N/A,#N/A,Heimdall College of Optometry is the leader in Higher Education in Seattle,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
2be5173b-2455-4ecc-968d-e622a896cfe2,#N/A,Livefish,Customer,#N/A,Shell Centre,London,#N/A,SE1 7NA,United Kingdom,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Electronics,#N/A,#N/A,Videlectrix is the leader in Electronics,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
2bf33df0-1ef1-4e67-87f1-4ab40cc4f13f,#N/A,Fanoodle,Prospect,#N/A,51368 Leverkusen,North Rhine-Westphalia,Leverkusen,#N/A,Germany,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Banking,#N/A,#N/A,SpringShield is the leader in Banking in North Rhine-Westphalia,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
2cba0e46-0694-4509-a74f-7d434086b2ad,#N/A,Myworks,Customer,#N/A,333 Clay St Ste 1600,Houston,TX,77002-4101,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.713.646.4100,#N/A,#N/A,Engineering,#N/A,#N/A,Wentworth Industries is the leader in Engineering in Houston,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
318f8995-79ce-4d24-aa2f-078615f83231,#N/A,Realcube,Customer,#N/A,"Via Nizza, 250",Turin,Turin,#N/A,Italy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Healthcare,#N/A,#N/A,TF North is the leader in Healthcare in Turin,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
32c87a3c-389d-4063-b28f-0dc183a500aa,#N/A,Mycat,Customer,#N/A,200 Elizabeth Street,Melbourne,VIC,3000,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,200 Elizabeth Street,Melbourne,VIC,3000,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,(03) 7578 7328,#N/A,#N/A,Banking,#N/A,#N/A,Galaxy Corp is the leader in Banking in Melbourne,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
32d41f1e-9a6d-4a33-8f7c-89ddfc2deb73,#N/A,Yodel,Customer,#N/A,770 Cochituate Rd Ste 1,Framingham,MA,01701-4698,United States,#N/A,#N/A,#N/A,#N/A,#N/A,P.O. BOX 9133,Framingham,MA,01701-9133,US,#N/A,#N/A,#N/A,#N/A,#N/A,1.508.390.1000,#N/A,#N/A,Consumer Goods,#N/A,#N/A,Prandial Foods is the leader in Consumer Goods in Framingham,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
33054ccf-ee83-4e6c-95a1-5415e104c081,#N/A,Wordtune,Prospect,#N/A,1 Infinite Loop,Cupertino,CA,95014-2083,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.408.996.1010,#N/A,#N/A,Transportation,#N/A,#N/A,Sweetwine Car Service is the leader in Transportation in Cupertino,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
34358351-a3dd-4cbf-b704-5592c334f51a,#N/A,Oodoo,Customer,#N/A,1501 Page Mill Rd,Palo Alto,CA,94304-1126,United States,#N/A,#N/A,#N/A,#N/A,#N/A,P.O. BOX 10301,Palo Alto,CA,94303-0890,US,#N/A,#N/A,#N/A,#N/A,#N/A,1.650.857.1501,#N/A,#N/A,Automotive,#N/A,#N/A,Kumatsu Motors is the leader in Automotive in Palo Alto,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
35b76448-c462-4aba-bd37-c9458b62de7a,#N/A,Cedar Point,Customer,#N/A,#N/A,#N/A,OH,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Entertainment,2600,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
376950b9-6649-4440-a8f2-e3e6d8431ebc,#N/A,Rhycero,Customer,#N/A,10 Wingfield St,Annerley,QLD,4103,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,10 Wingfield St,Annerley,QLD,4103,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,(07) 6433 7486,#N/A,#N/A,Retail,#N/A,#N/A,Chez Quis is the leader in Retail in Annerley,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
3801daa2-f959-4117-92ae-3ed302377bdf,#N/A,Trudoo,Customer,#N/A,66 Beckenham St,Canley Vale,NSW,2166,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,66 Beckenham St,Canley Vale,NSW,2166,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,(02) 6548 7709,#N/A,#N/A,Consulting,#N/A,#N/A,Mr. Sparkle is the leader in Consulting in Canley Vale,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
3bba1989-e4be-470b-86a7-aa395df7f40a,#N/A,Sample Account for Entitlements,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1517,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
3caa8188-678e-41d3-957a-7390d5dac12d,#N/A,Quimm,Customer,#N/A,900 Cottage Grove Rd,Bloomfield,CT,06002-2920,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.860.226.6000,#N/A,#N/A,Media,#N/A,#N/A,Trek Broadcasting is the leader in Media in Bloomfield,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
3de67c83-040e-4e3e-a3da-b352f73043e6,#N/A,Edgetag,Prospect,#N/A,233 S Wacker Dr,Chicago,IL,60606-7147,United States,#N/A,#N/A,#N/A,#N/A,#N/A,29 Noalimba Cr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.872.825.4000,#N/A,#N/A,Retail,#N/A,#N/A,Realia Home is the leader in Retail in Chicago,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
