Guid,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__FilterFormula__c,SBQQ__FilterType__c,SBQQ__FilterVariable__c,SBQQ__Index__c,SBQQ__Object__c,SBQQ__Operator__c,SBQQ__TestedFormula__c,SBQQ__TestedVariable__c,SBQQ__Value__c
03b2f66e-a6b5-4d08-a073-0fa8b286eb9f,7e5245bd-2e53-4aae-809a-3bf09d0f37a1,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-013
f0dbc471-d109-4ae9-82d4-40691f5c33f5,f6b11b6b-c605-465c-922c-1abb405e422c,Product Code,#N/A,Value,#N/A,222.0,Quote Line,equals,#N/A,#N/A,EP-014
54390c25-91ee-46b0-b0f2-5e394cf9dedd,af622466-cee1-4bee-95f9-415c91a2f426,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,equals,#N/A,#N/A,WDCHIP
2b5658fd-d830-418a-bbb5-40987a609d5f,fe655a51-f065-4fd0-8450-bd3c5da2c11d,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
9e5ad5f5-cc2d-4f55-a0a4-1324e1c6100b,f6ea57e7-f06d-4161-a1ff-d61e26ac5d6c,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
ef640a6f-be32-46d0-a776-babb735b2258,c0ae8530-242e-4581-bec4-f5a8d3478e9e,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
a59b25d9-aa35-420b-bf19-4b0ad9865ae3,9a45ab3e-3dc6-413b-8c70-30901b0f71d8,Product Code,#N/A,Value,#N/A,444.0,Quote Line,equals,#N/A,#N/A,EP-025
af4db3a5-53f5-496f-92e7-f11c04842591,8985e0a6-429b-4949-978d-e2b173fefdb9,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,fdhfvu6578
5cb0cef8-76be-4f22-a81b-10bb174412d7,9a45ab3e-3dc6-413b-8c70-30901b0f71d8,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
b0c0cbd5-0792-4655-89ab-8a46f86bdb2f,cf58ebbc-7257-4e3d-bfd7-86edf75d7b04,Product Code,#N/A,Value,#N/A,444.0,Quote Line,equals,#N/A,#N/A,EP-025
999c41f5-4f39-49ca-b16c-8ab7667826af,5b0a30e8-f8c7-4220-b503-4194a0cf9add,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
6b2bc33d-6bcc-4dff-9c2f-3c28004c9720,be98a335-ad38-4091-8f0b-d5c4ade4c659,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
87b0354c-8890-41ae-a321-2d0842c2e66e,c1a47290-2fec-437f-91cb-3d9a881655ea,Product Code,#N/A,Value,#N/A,222.0,Product Option,equals,#N/A,#N/A,EP-014
6b5295ee-060f-4b93-967e-4995484fb8b3,c0ae8530-242e-4581-bec4-f5a8d3478e9e,Product Code,#N/A,Value,#N/A,222.0,Product Option,equals,#N/A,#N/A,EP-014
e238fb68-7c53-43da-83ac-fc97136a8a51,c1a47290-2fec-437f-91cb-3d9a881655ea,Product Code,#N/A,Value,#N/A,333.0,Product Option,equals,#N/A,#N/A,EP-015
b1b035ae-f332-4958-a70e-20416a7da663,738ee6de-1cac-4d81-ac40-59c0dad563be,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,EP-025
ff6b5d07-cdd1-4aba-98db-8c3cf056a2a4,00f20c34-6bb1-4f87-bc40-e27e91761ac7,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-025
5f51e025-8b17-449a-bbda-35a1b8c6e12f,79fc9a47-8de1-49c4-9534-6e4b0e40a4ee,Product Code,#N/A,Value,#N/A,444.0,Quote Line,equals,#N/A,#N/A,EP-025
6e23b50f-3680-4321-b400-085591c085db,c1a47290-2fec-437f-91cb-3d9a881655ea,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
a95d9cfb-b0a1-4ed8-8cb4-db82ab560a8b,0b4afd12-3c75-4d0b-8354-4a5db0b5ce93,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
ed571c1b-190d-40ba-b7b2-d692e00ffa23,c0250104-e2c7-4984-ae6d-dceca3b3d609,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
d9099e3d-4afa-4b1b-916b-071fbd2bc558,9a45ab3e-3dc6-413b-8c70-30901b0f71d8,Product Code,#N/A,Value,#N/A,222.0,Quote Line,equals,#N/A,#N/A,EP-014
dfc6c938-ec24-46d2-a179-9c7afdb4bc24,4b1f8898-30bd-4daa-ac19-2a136c47a9e3,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-025
ee66fc82-d61b-41a7-905f-627df373a1cc,66b0d3f0-0220-45b2-9b3e-7fa4c42acdb7,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
ae30e1b6-f800-49d4-b206-151582a646c9,eff7083f-cbd8-4794-9983-773af8da9ccd,Product Code,#N/A,Value,#N/A,333.0,Product Option,equals,#N/A,#N/A,EP-015
70672829-b4e9-4d43-a01e-f43dd4e30749,6c865161-4153-4df7-9aea-02c79912b5e4,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,fdhfvu6578
2998e425-971f-404e-981f-f125f5f0ff9a,3a0d3db1-d793-4cf8-a7d9-f7d201b0f7b0,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
ecd47134-6828-4f2c-8af5-8c4f3a06f289,eff7083f-cbd8-4794-9983-773af8da9ccd,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
dd2c4fa6-9dcc-4327-9984-29985ceb9beb,72a39279-b476-4ed2-8d9a-8e7779d2ec8e,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-013
c254fea8-2bdd-42d3-b676-3f81deb54458,2f27d747-15f4-43d7-90cb-3eb67494c05c,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,equals,#N/A,#N/A,WDCHIP
bc99468b-e459-4c3c-9658-5bb607dc075f,79fc9a47-8de1-49c4-9534-6e4b0e40a4ee,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
52550baf-25dd-4085-abcf-5cb44d3f4d20,cf58ebbc-7257-4e3d-bfd7-86edf75d7b04,Product Code,#N/A,Value,#N/A,222.0,Quote Line,equals,#N/A,#N/A,EP-014
94b16c2c-6145-49d4-949d-b8dbbde7788a,7ab8d4e9-df1c-49c1-9acf-f565e072a4ee,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-013
28867216-b515-4899-aa6b-ad963202456e,f6b11b6b-c605-465c-922c-1abb405e422c,Product Code,#N/A,Value,#N/A,444.0,Quote Line,equals,#N/A,#N/A,EP-025
b51ca255-5ab7-451c-9842-51714b2ffc06,559efa50-1c98-4ad9-b05e-c01100a81d24,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
d14acacd-0acc-4a3f-9675-4c8676117cf3,01c9c376-571b-4e36-91a9-f5d2ddcf3d90,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,Run-on-all-quotelines
9ded60c5-4ed6-4b0b-b3b5-6fac82a17571,23b12d47-8f71-4b49-bcb4-db1d7f2c808d,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,fdhfvu6578
f368e795-1d9c-4a51-b1f4-8c7b9f2c5a66,eff7083f-cbd8-4794-9983-773af8da9ccd,Product Code,#N/A,Value,#N/A,222.0,Product Option,equals,#N/A,#N/A,EP-014
6d245926-12c2-4524-beed-55928a2b32bb,fa93ec9a-9e89-41be-8b48-46505e4460ce,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
a810e31a-1c42-4703-a6f2-22a1f68a737e,5d4870fb-d090-4553-aca2-70af4aa0c365,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
a117b823-d080-4c69-8ed6-8485c998e893,f85c9f91-3d00-49e2-97ae-d2e9b122cbc2,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
81082c76-8f5a-43fa-8c9c-077e12b63d29,79fc9a47-8de1-49c4-9534-6e4b0e40a4ee,Product Code,#N/A,Value,#N/A,222.0,Quote Line,equals,#N/A,#N/A,EP-014
7bd778ef-8eb6-4d62-aaa0-1e005c3139d6,68869a89-73e7-4edd-8bae-0fe8afea2f20,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,Run-on-all-quotelines
e5f890c7-c9b6-4055-9124-5805d2715a42,eff7083f-cbd8-4794-9983-773af8da9ccd,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,EP-025
e92ca785-61ca-43e6-8890-9ab8ac6e63e2,83c0aea0-2aab-4da4-a6d0-5fd66192aac2,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-025
25029442-f3a8-47af-ad5c-597ed3d74230,cf427edd-22fd-420a-bb81-689171efd263,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-013
af32714f-b797-4c04-aa73-837c7a38cce2,cf58ebbc-7257-4e3d-bfd7-86edf75d7b04,Product Code,#N/A,Value,#N/A,333.0,Quote Line,equals,#N/A,#N/A,EP-015
1ba08c56-1c26-4f42-a9ee-94c9ffab7e51,738ee6de-1cac-4d81-ac40-59c0dad563be,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
a5714447-f2d2-4345-ae40-66179fbad6d3,a3245e47-1881-42ef-a45f-02d30a56dffe,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
08fea241-d441-4396-900e-7454e10c5425,131462e1-4194-436e-91a1-8321aeaffcc0,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,Run-on-all-quotelines
bbe8d367-859c-43c9-8e71-f9b3a54a93b1,8d540fff-3fe2-47c7-9496-90a666571812,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,Run-on-all-quotelines
a5e766a9-6dff-490b-be28-29136bd29a71,aac4a509-4dbe-4f76-b544-af478bbdf6eb,Protected_Devices__c,#N/A,Value,#N/A,#N/A,Product Option,greater than,#N/A,#N/A,0
0c547a66-e2a1-4766-82be-61c7616f3387,f6ea57e7-f06d-4161-a1ff-d61e26ac5d6c,Product Code,#N/A,Value,#N/A,222.0,Quote Line,equals,#N/A,#N/A,EP-014
1ab1386b-0785-4f93-97e8-4ec882f1c343,4b1f8898-30bd-4daa-ac19-2a136c47a9e3,Protected_Devices__c,#N/A,Value,#N/A,#N/A,Product Option,greater than,#N/A,#N/A,0
34eb6a6f-74be-4942-a4a0-9567942173e7,be98a335-ad38-4091-8f0b-d5c4ade4c659,Product Code,#N/A,Value,#N/A,222.0,Product Option,equals,#N/A,#N/A,EP-014
ac9d7137-728f-464e-aec8-12aadc684447,1a77da17-d594-4adb-a14b-3d20c10c4f63,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,fdhfvu6578
619e6453-229a-4781-824b-a91ba2c61877,789dbe6a-c39f-4585-977c-8118d24ba088,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
cf3db1c4-2157-4dc2-af0a-6abff40cfd38,a118c2d0-a2e4-433a-a7f3-fe2995b8c40c,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
2604db16-8c22-460a-ba47-ad1a9b4ceafc,9a45ab3e-3dc6-413b-8c70-30901b0f71d8,Product Code,#N/A,Value,#N/A,333.0,Quote Line,equals,#N/A,#N/A,EP-015
2d4d054e-349a-4693-8774-24f7099f56a5,c0ae8530-242e-4581-bec4-f5a8d3478e9e,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,EP-025
1a9ea78d-d15a-4358-bc9b-6554a71491f6,f6b11b6b-c605-465c-922c-1abb405e422c,Product Code,#N/A,Value,#N/A,333.0,Quote Line,equals,#N/A,#N/A,EP-015
58fb686f-933d-453e-abaf-dd7bd5d2e969,2b907c03-74e0-4163-9433-a97e66eb13b1,Product Code,#N/A,Value,#N/A,#N/A,Quote,not equals,#N/A,#N/A,123
9de4ee25-1a06-4eea-8544-a9cffad93fcf,d4cf4618-fbad-48ab-8976-fe969c8a9dc5,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,equals,#N/A,#N/A,WDCHIP
03a44781-414e-4771-bb86-11694b07dfb5,2aad6669-65c6-4b3e-97b3-95e6c0783554,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-025
36777087-cd37-4e97-ab36-d897d2c9effb,203f7fed-642e-4854-ac0f-1ab53ae51e46,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
aba028e8-bba9-4081-8d82-6ee7d0c5b75c,07ce8fad-aceb-4718-b3c2-84952073796d,Handling_Fee__c,#N/A,Value,#N/A,#N/A,Quote,equals,#N/A,#N/A,15
e0ed2ed9-b746-4bf9-a78e-c599b33e936b,cf58ebbc-7257-4e3d-bfd7-86edf75d7b04,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
a5fb2725-f851-4216-a4cc-b2addd5347d7,ce868037-2630-417d-b47a-ce3b5f7f15cb,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
2acca9ba-da4c-40e6-b324-916b9908aadf,69f313b8-d6c2-4f04-9c56-e5bdd531d10c,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
0de1bbc5-7ab4-4c83-9309-355555a99db3,dbafaec1-06f5-459d-8fee-05abcc10d1ae,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
7971fb5c-1330-4887-badf-325f47bf161b,d4bd276b-2850-4701-9deb-7cea7bff070a,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
6f80b305-b106-404f-b964-be777aca79a0,f179679d-0dd2-47d5-b9fd-63a8c18aae33,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
29fad974-12f3-48f7-908b-8a0c6ed41d79,dbafaec1-06f5-459d-8fee-05abcc10d1ae,Product Code,#N/A,Value,#N/A,333.0,Quote Line,equals,#N/A,#N/A,EP-015
f0a6440f-7561-4810-bf3a-787244148af5,b3b9f940-ec4d-40de-9f52-84bad6d3eef1,Product Code,#N/A,Value,#N/A,#N/A,Quote,equals,#N/A,#N/A,#N/A
978b0c7e-ca31-4984-82d4-415dcbebb247,00893831-60dc-4ea2-97c8-045fce769e2d,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,equals,#N/A,#N/A,WDCHIP
3cba40b7-2136-4bd3-990b-fec10de18809,19adb92a-9fcf-4d45-9881-d7782014d774,Product Code,#N/A,Value,#N/A,333.0,Quote Line,equals,#N/A,#N/A,EP-015
df46a867-d34c-48ac-9815-8ff146203b6b,05c6049b-7583-4711-9ba8-ced65c8580f7,Handling_Fee__c,#N/A,Value,#N/A,#N/A,Quote,equals,#N/A,#N/A,35
defc143a-955c-457d-994d-6e05b5ecdfa9,ec1b0e8a-a3a7-442a-9735-8e5e7096e486,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
c3587d74-c6ae-45f1-8071-482dcf8e25bb,fdae54dd-5f48-4e92-86a2-e5931d5200b2,Product Code,#N/A,Value,#N/A,333.0,Quote Line,equals,#N/A,#N/A,EP-015
ef73ad1e-ae38-4265-9df9-1abf8746ff0c,52938e6b-f032-4d93-a633-af319041f23b,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-025
40d0b2ec-3592-4e3c-80a4-62ca2658df79,b2a15e27-ab07-467e-b254-ae6078ed7bd6,Protected_Devices__c,#N/A,Value,#N/A,#N/A,Product Option,greater than,#N/A,#N/A,0
c091cb0f-b414-4e34-91ab-4b8cf8eba425,31f4ec87-282a-48d8-86f2-9c1bc896b4f3,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote,equals,#N/A,#N/A,ABC
13a969b6-bc0c-42fe-a2c0-27cd04f605a3,d4bd276b-2850-4701-9deb-7cea7bff070a,Product Code,#N/A,Value,#N/A,333.0,Product Option,equals,#N/A,#N/A,EP-015
8eb52936-6116-4108-9921-d392b02cfd50,9f599ebc-fcc3-486c-bfb6-dcbbd2c00386,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-013
f2041399-7319-4c0d-ac4c-cdba1a610d37,35e9c08c-068e-4609-b710-578384a8d24c,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
7683f36f-3367-45b7-9904-238aa045adef,19adb92a-9fcf-4d45-9881-d7782014d774,Product Code,#N/A,Value,#N/A,222.0,Quote Line,equals,#N/A,#N/A,EP-014
ebca4e09-75da-40a4-a6f1-67997db6dd38,2f541793-cd7b-4a10-b8f4-e2f0fcc84853,Product Code,#N/A,Value,#N/A,#N/A,Quote,not equals,#N/A,#N/A,123
8a2fbc52-e263-407c-b40d-63347b5928b7,887e7aef-a0d5-4616-a6a5-2fee3fbfd6d0,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
e4b0bc99-78b6-425c-9cc1-c97ac943c33e,4de28982-cbd1-43d4-968e-734bce182721,Handling_Fee__c,#N/A,Value,#N/A,#N/A,Quote,equals,#N/A,#N/A,15.00
00edf5b5-8c2c-43c5-966f-5544dd6ef6a3,a1afc168-d840-4660-aea4-0cf8fb400add,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,Run-on-all-quotelines
a1175c13-9f44-4a1d-bf21-7addc888799f,5b64ced4-ca0f-418d-ae2f-01de79d8763c,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,equals,#N/A,#N/A,WDCHIP
5b5997eb-36a6-45e6-9592-4dc4be197fa9,52938e6b-f032-4d93-a633-af319041f23b,Protected_Devices__c,#N/A,Value,#N/A,#N/A,Product Option,greater than,#N/A,#N/A,0
3bbd3b39-14bb-454b-bda9-8dd057509319,cb44a597-5fce-4973-aa86-75a51c136a88,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,fdhfvu6578
40471087-db69-4718-ab73-2cec13e638b3,808b5fa3-de52-4491-863f-0275290e7330,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
e4e8f12b-b288-4872-adca-e8362b86744e,0534d38c-d8e7-414d-8ff6-8cebc9592ccc,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,equals,#N/A,#N/A,WDCHIP
0556b1cc-f484-483d-aff2-dc4be13f8595,fdae54dd-5f48-4e92-86a2-e5931d5200b2,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
8a44aa3d-8028-44fc-bea0-decdb06e1af0,dbafaec1-06f5-459d-8fee-05abcc10d1ae,Product Code,#N/A,Value,#N/A,222.0,Quote Line,equals,#N/A,#N/A,EP-014
dff3071f-d26e-41b5-8ab7-c626cecd50e1,da447496-4e6f-4a7d-8a15-72732109a2a1,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
76623d35-84bf-4406-8348-d8a5beaa1364,906355e9-b37b-4670-9108-dcda327b2feb,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
2b22da79-7ead-46bc-a8e4-0fd35c7f28a9,b5b3e3b1-635c-47f4-839e-aec46703d03e,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
2c5270c8-a98e-47e9-bb47-0edecde7ae4d,d4bd276b-2850-4701-9deb-7cea7bff070a,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,EP-025
3a059f31-6104-4fbf-8233-d860ff3a449b,b5b3e3b1-635c-47f4-839e-aec46703d03e,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,EP-025
e9729264-afa3-412a-9fc8-48678dc1007b,19adb92a-9fcf-4d45-9881-d7782014d774,Product Code,#N/A,Value,#N/A,444.0,Quote Line,equals,#N/A,#N/A,EP-025
23c65cec-667e-4c67-9bbb-781f4e5b4874,85ef2dff-b8aa-4f9a-9469-d12a85c642e4,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-013
78138bc7-942b-4456-bc26-6035c58d79bc,19adb92a-9fcf-4d45-9881-d7782014d774,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
